姓名,性别,手机号,邮箱,微信号,居住地,求职意向,个人简介,教育经历,工作/实践经历,项目经验,技能特长,自我评价
夏恒,男,18077164257,xiaheng79@163.com,18401270371,广州,"期望岗位：Python开发工程师
期望城市：广州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科计算机应用技术专业应届毕业生，掌握Linux、Flask基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事Python开发工程师相关工作。,"苏州职业大学 | 计算机应用技术 | 专科
毕业时间：2022年6月
核心课程：算法设计与分析、Java程序设计、数据库原理、数据结构","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 自动化办公脚本
  项目目标：批量处理Excel表格数据
  个人职责：实现数据合并、格式转换、自动统计
  项目成果：提升人工效率80%","专业技能：Docker、Linux、Django、Celery、Redis、MySQL
相关证书：英语六级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
吴娜,女,15109166636,wuna9153@gmail.com,wx_wuna_559,龙岩,"期望岗位：数据分析师
期望城市：龙岩
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科通信工程专业应届毕业生，掌握Hive、Tableau基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事数据分析师相关工作。,"南昌大学 | 通信工程 | 本科
毕业时间：2022年6月
核心课程：机器学习、操作系统、算法设计与分析、软件工程","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 电商公开数据爬取分析
  项目目标：采集公开电商商品数据并分析
  个人职责：数据爬取、清洗、价格销量分析
  项目成果：输出可视化分析图表","专业技能：Power BI、用户分析、Tableau、SQL、Pandas、Excel、统计学
相关证书：红帽RHCE认证",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
任鹏,男,18412082750,renpeng401@qq.com,13889858901,东莞,"期望岗位：数据分析师
期望城市：东莞
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科数字媒体技术专业应届毕业生，掌握Hive、NumPy基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事数据分析师相关工作。,"厦门海洋职业技术学院 | 数字媒体技术 | 专科
毕业时间：2022年6月
核心课程：机器学习、数据结构、Java程序设计、计算机网络","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 电商公开数据爬取分析
  项目目标：采集公开电商商品数据并分析
  个人职责：数据爬取、清洗、价格销量分析
  项目成果：输出可视化分析图表","专业技能：统计学、Power BI、SQL、Pandas
相关证书：英语六级、软考中级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
高若曦,女,18305412499,gao若xi1559@gmail.com,wx_gao若xi_972,南京,"期望岗位：后端开发工程师
期望城市：南京
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科数学与应用数学专业应届毕业生，掌握MySQL、Redis基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事后端开发工程师相关工作。,"苏州科技大学 | 数学与应用数学 | 本科
毕业时间：2022年6月
核心课程：软件工程、Java程序设计、数据库原理、计算机网络","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 简单论坛系统
  项目目标：实现帖子发布、回复、板块管理
  个人职责：负责后端服务开发与接口文档编写
  项目成果：支持百人同时在线访问","专业技能：微服务、Java、Gin、PostgreSQL、Kafka
相关证书：计算机一级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
曹欣,女,15155023279,caoxin265@gmail.com,wx_caoxin_831,南昌,"期望岗位：前端开发工程师
期望城市：南昌
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科物联网工程专业应届毕业生，掌握JavaScript、移动端适配基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事前端开发工程师相关工作。,"福州职业技术学院 | 物联网工程 | 专科
毕业时间：2022年6月
核心课程：数据结构、软件工程、Java程序设计、Python编程","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 校园社团官网（实训项目）
  项目目标：为学校社团开发官方展示网站
  个人职责：负责首页、新闻页、成员页开发
  项目成果：上线后访问量累计5000+","专业技能：Ant Design、Vite、Axios、React、CSS3、JavaScript
相关证书：阿里云ACP云计算认证、计算机二级、计算机一级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
胡雯,女,15054484611,huwen8208@gmail.com,18070333464,广州,"期望岗位：数据分析师
期望城市：广州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",1年数据分析师工作经验，精通Tableau、Hive技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"集美大学 | 电子信息工程 | 本科
毕业时间：2021年6月
核心课程：计算机网络、算法设计与分析、机器学习、操作系统","【通元互联网科技有限公司】 数据分析师
2025年8月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司数据分析师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 用户行为分析看板
  项目目标：构建用户行为数据体系，支撑运营决策
  个人职责：负责数据清洗、指标体系搭建，输出可视化运营报表
  项目成果：输出15+核心运营指标，支撑每月3次运营优化，用户留存率提升8%

■ 销售数据预测建模
  项目目标：基于历史数据预测销量，指导库存与备货
  个人职责：数据预处理，构建时间序列预测模型，输出月度预测报告
  项目成果：预测准确率达89%，库存周转效率提升25%","专业技能：Hive、MySQL、Excel、数据可视化、用户分析、Tableau、Pandas
相关证书：软考中级",拥有1年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
贺子轩,男,17785664143,he子xuan3585@qq.com,15530941265,宁波,"期望岗位：前端开发工程师
期望城市：宁波
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年前端开发工程师从业经验，精通Ant Design技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"广东轻工职业技术学院 | 计算机科学与技术 | 专科
毕业时间：2019年6月
核心课程：数据结构、机器学习、Java程序设计、Python编程","【中软网络科技有限公司】 前端开发工程师
2025年2月 - 至今
    · 负责公司前端开发工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【云创科技有限公司】 前端开发工程师
2024年6月 - 2025年9月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 企业后台管理系统
  项目目标：搭建企业运营管理后台，实现业务数据可视化
  个人职责：负责权限管理、数据报表模块开发，对接后端接口联调
  项目成果：覆盖12个业务部门，运营效率提升40%

■ 电商平台前端重构
  项目目标：升级旧版电商系统前端架构，提升用户体验与加载速度
  个人职责：负责商品详情页、购物车模块开发，组件化封装公共组件
  项目成果：首屏加载时间从3.2s降至1.8s，页面转化率提升12%","专业技能：JavaScript、Vue、React、Webpack、Vite、CSS3、HTML5
相关证书：英语四级",拥有3年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
孔建,男,15238111236,kongjian01@qq.com,13352202086,宁波,"期望岗位：运维工程师
期望城市：宁波
期望行业：互联网/信息技术/软件服务
期望薪资：面议",8年运维工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"华南理工大学 | 计算机应用技术 | 本科
毕业时间：2014年6月
核心课程：软件工程、数据库原理、数据结构、数字信号处理","【美图公司】 运维工程师
2024年7月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审

【金蝶科技有限公司】 运维工程师
2022年5月 - 2024年9月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审

【启明互联网科技有限公司】 运维工程师
2020年2月 - 2022年11月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ CI/CD自动化流水线
  项目目标：实现代码自动化构建、测试、部署，提升发布效率
  个人职责：基于Jenkins搭建持续集成流水线，配置Docker容器化部署
  项目成果：发布周期从每周1次提升至每天3次，部署失误率降为0

■ 服务器集群运维优化
  项目目标：提升服务器集群稳定性，降低故障发生率
  个人职责：负责日常巡检、故障排查，优化监控告警规则与分级策略
  项目成果：服务器故障率下降60%，平均故障响应时间缩短至15分钟","专业技能：Prometheus、Linux、网络运维、Jenkins、Kubernetes、Zabbix、Nginx、Redis、MySQL、Ansible
相关证书：软件设计师（中级）、PMP项目管理专业人士、英语四级",拥有8年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
苏伟,男,15260120273,suwei1554@outlook.com,13420427741,南京,"期望岗位：算法工程师
期望城市：南京
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科通信工程专业应届毕业生，掌握算法优化、特征工程基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事算法工程师相关工作。,"福州职业技术学院 | 通信工程 | 专科
毕业时间：2022年6月
核心课程：操作系统、算法设计与分析、数字信号处理、计算机网络","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 电影推荐系统（毕设）
  项目目标：基于协同过滤实现简单电影推荐
  个人职责：数据处理、模型实现、效果验证
  项目成果：召回准确率达到75%","专业技能：特征工程、PyTorch、深度学习、计算机视觉
相关证书：英语六级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
蔡伟,男,13403798575,caiwei92@outlook.com,wx_caiwei_138,深圳,"期望岗位：运维工程师
期望城市：深圳
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科网络工程专业应届毕业生，有1段运维工程师实习经验，掌握Docker技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"福建信息职业技术学院 | 网络工程 | 专科
毕业时间：2021年6月
核心课程：数据库原理、软件工程、Java程序设计、操作系统","【网易（杭州）】 运维工程师（实习）
2025年12月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审","■ 实验室服务器搭建实训
  项目目标：搭建实验室Linux服务器环境
  个人职责：负责系统安装、网络配置、基础服务部署
  项目成果：完成3台服务器环境搭建

■ 简单监控脚本开发
  项目目标：编写服务器状态监控脚本
  个人职责：实现CPU、内存、磁盘使用率自动采集
  项目成果：支持异常邮件告警","专业技能：网络运维、Docker、Redis、Shell
相关证书：英语四级",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
韦雨泽,男,17619126959,wei雨ze326@outlook.com,18017871472,南昌,"期望岗位：Python开发工程师
期望城市：南昌
期望行业：互联网/信息技术/软件服务
期望薪资：面议",4年Python开发工程师从业经验，精通Django技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"南京理工大学 | 数字媒体技术 | 本科
毕业时间：2018年6月
核心课程：Python编程、数据结构、机器学习、数字信号处理","【阿里巴巴（福州分公司）】 Python开发工程师
2024年3月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【启明数据技术有限公司】 Python开发工程师
2022年4月 - 2024年4月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 自动化运维平台
  项目目标：开发运维管理平台，实现服务器批量管理
  个人职责：负责监控、告警、任务调度模块后端开发
  项目成果：管理服务器200+，运维人力成本降低50%

■ 数据采集爬虫系统
  项目目标：搭建分布式爬虫平台，采集多渠道公开数据
  个人职责：负责反爬策略破解、数据清洗、入库逻辑开发
  项目成果：日均采集数据50万条，数据准确率98%以上","专业技能：Linux、MongoDB、Flask、Django、Docker、Celery、Python、FastAPI、Git
相关证书：计算机一级",拥有4年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
龚雪,女,13922790944,gongxue003@outlook.com,wx_gongxue_511,珠海,"期望岗位：Java开发工程师
期望城市：珠海
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科数据科学与大数据技术专业应届毕业生，有0段Java开发工程师实习经验，掌握RabbitMQ技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"江西交通职业技术学院 | 数据科学与大数据技术 | 专科
毕业时间：2022年6月
核心课程：机器学习、数字信号处理、操作系统、算法设计与分析","【合众软件有限公司】 Java开发工程师（实习）
2020年12月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 学生成绩管理系统（课程设计）
  项目目标：实现学生信息、成绩、班级的增删改查管理
  个人职责：负责后端接口开发与数据库设计
  项目成果：完成基础功能，通过课程答辩

■ 校园二手交易平台（毕设）
  项目目标：搭建校园闲置物品发布与交易平台
  个人职责：负责用户模块、商品发布模块开发
  项目成果：完成系统原型，获得良好成绩","专业技能：Linux、SpringBoot、MySQL、SpringCloud、RabbitMQ
相关证书：计算机二级",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
龙明,男,18233040387,longming433@163.com,wx_longming_666,苏州,"期望岗位：Python开发工程师
期望城市：苏州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年Python开发工程师工作经验，精通爬虫、FastAPI技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"暨南大学 | 电子信息工程 | 本科
毕业时间：2020年6月
核心课程：软件工程、算法设计与分析、机器学习、数据库原理","【博思科技有限公司】 Python开发工程师
2025年10月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【数聚软件有限公司】 Python开发工程师
2024年5月 - 2025年3月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司Python开发工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 自动化运维平台
  项目目标：开发运维管理平台，实现服务器批量管理
  个人职责：负责监控、告警、任务调度模块后端开发
  项目成果：管理服务器200+，运维人力成本降低50%

■ 数据采集爬虫系统
  项目目标：搭建分布式爬虫平台，采集多渠道公开数据
  个人职责：负责反爬策略破解、数据清洗、入库逻辑开发
  项目成果：日均采集数据50万条，数据准确率98%以上","专业技能：MongoDB、Docker、Django、MySQL、Python、FastAPI、Celery
相关证书：英语六级",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
马平,男,13867363153,maping852@gmail.com,18966907382,莆田,"期望岗位：运维工程师
期望城市：莆田
期望行业：互联网/信息技术/软件服务
期望薪资：面议",5年运维工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"苏州职业大学 | 信息管理与信息系统 | 专科
毕业时间：2017年6月
核心课程：Python编程、软件工程、操作系统、Java程序设计","【携程（厦门）】 运维工程师
2025年9月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审

【智联数据技术有限公司】 运维工程师
2024年3月 - 2025年10月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审

【微远网络科技有限公司】 运维工程师
2023年7月 - 2024年8月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ CI/CD自动化流水线
  项目目标：实现代码自动化构建、测试、部署，提升发布效率
  个人职责：基于Jenkins搭建持续集成流水线，配置Docker容器化部署
  项目成果：发布周期从每周1次提升至每天3次，部署失误率降为0

■ 服务器集群运维优化
  项目目标：提升服务器集群稳定性，降低故障发生率
  个人职责：负责日常巡检、故障排查，优化监控告警规则与分级策略
  项目成果：服务器故障率下降60%，平均故障响应时间缩短至15分钟","专业技能：Zabbix、Redis、Ansible、Jenkins、Linux、Kubernetes
相关证书：系统架构设计师、计算机二级",拥有5年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
姚华,男,18279071691,yaohua4375@outlook.com,wx_yaohua_717,深圳,"期望岗位：后端开发工程师
期望城市：深圳
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科数字媒体技术专业应届毕业生，掌握Redis、Python基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事后端开发工程师相关工作。,"南京工业职业技术大学 | 数字媒体技术 | 专科
毕业时间：2022年6月
核心课程：Java程序设计、机器学习、数据结构、操作系统","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 简单论坛系统
  项目目标：实现帖子发布、回复、板块管理
  个人职责：负责后端服务开发与接口文档编写
  项目成果：支持百人同时在线访问","专业技能：Go、MySQL、SpringBoot、PostgreSQL
相关证书：计算机二级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
卢杰,男,15893101742,lujie664@gmail.com,15181279110,苏州,"期望岗位：算法工程师
期望城市：苏州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年算法工程师工作经验，精通Python、特征工程技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"浙江工业大学 | 通信工程 | 本科
毕业时间：2020年6月
核心课程：计算机网络、算法设计与分析、软件工程、机器学习","【数聚数据技术有限公司】 算法工程师
2025年3月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【博思科技有限公司】 算法工程师
2024年10月 - 2025年10月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%

■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万","专业技能：数据结构、深度学习、NLP、PyTorch、机器学习、特征工程、SQL、TensorFlow、推荐算法、计算机视觉
相关证书：红帽RHCE认证、计算机一级",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
曾萍,女,13570697626,zengping4482@qq.com,15543683150,南平,"期望岗位：后端开发工程师
期望城市：南平
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科数字媒体技术专业应届毕业生，有0段后端开发工程师实习经验，掌握Docker技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"苏州大学 | 数字媒体技术 | 本科
毕业时间：2022年6月
核心课程：数字信号处理、算法设计与分析、Java程序设计、机器学习","【易联软件有限公司】 后端开发工程师（实习）
2021年8月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司后端开发工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 简单论坛系统
  项目目标：实现帖子发布、回复、板块管理
  个人职责：负责后端服务开发与接口文档编写
  项目成果：支持百人同时在线访问

■ 图书管理系统后端
  项目目标：实现图书借阅、归还、用户管理功能
  个人职责：负责接口开发与数据库表结构设计
  项目成果：完成核心功能，支持1000条数据量","专业技能：Java、Redis、K8s、微服务
相关证书：MySQL数据库认证、计算机二级、英语六级",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
毛然,男,13505428053,maoran3791@163.com,wx_maoran_342,东莞,"期望岗位：运维工程师
期望城市：东莞
期望行业：互联网/信息技术/软件服务
期望薪资：面议",5年运维工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"南昌大学 | 数字媒体技术 | 本科
毕业时间：2017年6月
核心课程：软件工程、Java程序设计、机器学习、数字信号处理","【阿里巴巴（福州分公司）】 运维工程师
2025年5月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【天擎科技有限公司】 运维工程师
2024年7月 - 2025年10月
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【启明数据技术有限公司】 运维工程师
2023年9月 - 2024年1月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ CI/CD自动化流水线
  项目目标：实现代码自动化构建、测试、部署，提升发布效率
  个人职责：基于Jenkins搭建持续集成流水线，配置Docker容器化部署
  项目成果：发布周期从每周1次提升至每天3次，部署失误率降为0

■ 服务器集群运维优化
  项目目标：提升服务器集群稳定性，降低故障发生率
  个人职责：负责日常巡检、故障排查，优化监控告警规则与分级策略
  项目成果：服务器故障率下降60%，平均故障响应时间缩短至15分钟","专业技能：MySQL、Nginx、Linux、Jenkins、Zabbix、Docker、Ansible
相关证书：无",拥有5年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
周雨泽,男,13625567517,zhou雨ze3100@126.com,15129013263,三明,"期望岗位：算法工程师
期望城市：三明
期望行业：互联网/信息技术/软件服务
期望薪资：面议",5年算法工程师从业经验，精通机器学习技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"佛山科学技术学院 | 网络工程 | 本科
毕业时间：2017年6月
核心课程：算法设计与分析、机器学习、Java程序设计、数字信号处理","【网易（杭州）】 算法工程师
2025年6月 - 至今
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【安硕网络科技有限公司】 算法工程师
2024年12月 - 2025年10月
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【恒信软件有限公司】 算法工程师
2023年9月 - 2024年4月
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：NLP、特征工程、计算机视觉、TensorFlow、PyTorch、推荐算法、SQL、数据结构、算法优化
相关证书：软件设计师（中级）",拥有5年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
